年份,总人口,男性人口,女性人口,城镇人口,农村人口,出生率,死亡率,自然增长率,0-14岁抚养比,15-64岁抚养比,>=65岁抚养比,总抚养比,儿童抚养比,老人抚养比
2019,140005,71527,68478,84843,55162,10.48,7.14,3.34,23492,98910,17603,41.5,23.8,17.8
2018,139538,71351,68187,83137,56401,10.94,7.13,3.81,23523,99357,16658,40.4,23.7,16.8
2017,139008,71137,67871,81347,57661,12.43,7.11,5.32,23348,99829,15831,39.2,23.4,15.9
2016,138271,70815,67456,79298,58973,12.95,7.09,5.86,23008,100260,15003,37.9,22.9,15
2015,137462,70414,67048,77116,60346,12.07,7.11,4.96,22715,100361,14386,37,22.6,14.3
2014,136782,70079,66703,74916,61866,12.37,7.16,5.21,22558,100469,13755,36.2,22.5,13.7
2013,136072,69728,66344,73111,62961,12.08,7.16,4.92,22329,100582,13161,35.3,22.2,13.1
2012,135404,69395,66009,71182,64222,12.1,7.15,4.95,22287,100403,12714,34.9,22.2,12.7
2011,134735,69068,65667,69079,65656,11.93,7.14,4.79,22164,100283,12288,34.4,22.1,12.3
2010,134091,68748,65343,66978,67113,11.9,7.11,4.79,22259,99938,11894,34.2,22.3,11.9
2009,133450,68647,64803,64512,68938,11.95,7.08,4.87,24659,97484,11307,36.9,25.3,11.6
2008,132802,68357,64445,62403,70399,12.14,7.06,5.08,25166,96680,10956,37.4,26,11.3
2007,132129,68048,64081,60633,71496,12.1,6.93,5.17,25660,95833,10636,37.9,26.8,11.1
2006,131448,67728,63720,58288,73160,12.09,6.81,5.28,25961,95068,10419,38.3,27.3,11
2005,130756,67375,63381,56212,74544,12.4,6.51,5.89,26504,94197,10055,38.8,28.1,10.7
2004,129988,66976,63012,54283,75705,12.29,6.42,5.87,27947,92184,9857,41,30.3,10.7
2003,129227,66556,62671,52376,76851,12.41,6.4,6.01,28559,90976,9692,42,31.4,10.7
2002,128453,66115,62338,50212,78241,12.86,6.41,6.45,28774,90302,9377,42.2,31.9,10.4
2001,127627,65672,61955,48064,79563,13.38,6.43,6.95,28716,89849,9062,42,32,10.1
2000,126743,65437,61306,45906,80837,14.03,6.45,7.58,29012,88910,8821,42.6,32.6,9.9
1999,125786,64692,61094,43748,82038,14.64,6.46,8.18,31950,85157,8679,47.7,37.5,10.2
1998,124761,63940,60821,41608,83153,15.64,6.5,9.14,32064,84338,8359,47.9,38,9.9
1997,123626,63131,60495,39449,84177,16.57,6.51,10.06,32093,83448,8085,48.1,38.5,9.7
1996,122389,62200,60189,37304,85085,16.98,6.56,10.42,32311,82245,7833,48.8,39.3,9.5
